group,metric,variant,source_group,source_variant,global_step,mean,std,stderr,ci95_low,ci95_high,seed_count,available_seed_count,min_seed_value,max_seed_value,step_bin,shared_start_step,shared_end_step
obstacle_representation,critic_loss,SERPPO-L,framework_ablation,SERPPO,65536,0.6804057657718658,0.02685862694568796,0.00849344359731455,0.6637586163211293,0.6970529152226024,10,10,0.6364150047302246,0.7309582829475403,65536,65536,196608
obstacle_representation,critic_loss,SERPPO-L,framework_ablation,SERPPO,131072,0.6578390657901764,0.01576298907084715,0.004984694819621826,0.6480690639437175,0.6676090676366352,10,10,0.6374287605285645,0.6944522857666016,65536,65536,196608
obstacle_representation,critic_loss,SERPPO-L,framework_ablation,SERPPO,196608,0.6464250564575196,0.016024926330395102,0.005067526654045247,0.6364927042155909,0.6563574086994483,10,10,0.6208111643791199,0.6669216156005859,65536,65536,196608
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,8192,0.6701454102993012,0.06290205028122713,0.019891374838311264,0.6311583156162112,0.7091325049823912,10,10,0.5475846529006958,0.749453067779541,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,16384,0.6515141218900681,0.09031304181271423,0.028559491454619893,0.595537518639013,0.7074907251411231,10,10,0.4512353837490082,0.7763360738754272,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,24576,0.608013266324997,0.04845383474072809,0.015322447915009495,0.5779812684115784,0.6380452642384156,10,10,0.5486747026443481,0.7102267146110535,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,32768,0.5856343924999237,0.0357022754389393,0.011290050803773596,0.5635058929245275,0.6077628920753199,10,10,0.5179765820503235,0.6204899549484253,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,40960,0.524175888299942,0.02088930010081748,0.0066057767045368185,0.5112285659590499,0.5371232106408341,10,10,0.48870915174484253,0.5604125261306763,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,49152,0.527376514673233,0.028816574448468503,0.009112600962097088,0.5095158167875227,0.5452372125589433,10,10,0.4860652685165405,0.585166335105896,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,57344,0.5500383108854294,0.04840894272599024,0.01530825181347695,0.5200341373310146,0.5800424844398443,10,10,0.45693185925483704,0.6266918778419495,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,65536,0.5312782436609268,0.035887825253411255,0.011348726807088901,0.5090347391190325,0.5535217482028211,10,10,0.4764425456523895,0.5730977654457092,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,73728,0.5427575975656509,0.0348378362502334,0.011016691130271723,0.5211648829503184,0.5643503121809834,10,10,0.4803490936756134,0.5898657441139221,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,81920,0.5327543497085572,0.03423578216676082,0.010826304912433873,0.5115347920801868,0.5539739073369275,10,10,0.467803955078125,0.5794666409492493,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,90112,0.5189835041761398,0.020878096038084423,0.006602233668808431,0.5060431261852752,0.5319238821670044,10,10,0.489505410194397,0.5479021072387695,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,98304,0.5140042871236801,0.0269362882801277,0.008518002267610316,0.49730900267916384,0.5306995715681962,10,10,0.48978790640830994,0.5520779490470886,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-M,obstacle_representation,SERPPO-M,106496,0.5243504106998443,0.03873779180347665,0.012249965362438794,0.5003404785894643,0.5483603428102244,10,10,0.46122434735298157,0.584505558013916,8192,8192,106496
obstacle_representation,critic_loss,SERPPO-noBO,framework_ablation,SERPPO-noBO,65536,0.699497252702713,0.017111828262766682,0.005411235223998496,0.6888912316636759,0.7101032737417501,10,10,0.6778637170791626,0.732211172580719,65536,65536,196608
obstacle_representation,critic_loss,SERPPO-noBO,framework_ablation,SERPPO-noBO,131072,0.6732214570045472,0.02981406511859072,0.009428035208332476,0.6547425079962155,0.6917004060128789,10,10,0.6308185458183289,0.733256459236145,65536,65536,196608
obstacle_representation,critic_loss,SERPPO-noBO,framework_ablation,SERPPO-noBO,196608,0.6490821659564971,0.020594539737264946,0.00651256529326029,0.636317537981707,0.6618467939312873,10,10,0.6291705965995789,0.6936511993408203,65536,65536,196608
