group,metric,variant,source_group,source_variant,global_step,mean,std,stderr,ci95_low,ci95_high,seed_count,available_seed_count,min_seed_value,max_seed_value,step_bin,shared_start_step,shared_end_step
recurrent_actor,episodic_return_mean,SERPPO,framework_ablation,SERPPO,65536,-111.70055668959522,7.5880589131088385,2.399554918496563,-116.40368432984847,-106.99742904934196,10,10,-123.26246334310851,-97.50839694656489,65536,65536,196608
recurrent_actor,episodic_return_mean,SERPPO,framework_ablation,SERPPO,131072,-106.76765282373348,5.724788661867049,1.81033712946074,-110.31591359747654,-103.21939204999043,10,10,-117.68575624082231,-97.6140625,65536,65536,196608
recurrent_actor,episodic_return_mean,SERPPO,framework_ablation,SERPPO,196608,-108.71294633058785,4.187073845271825,1.3240690082378404,-111.30812158673402,-106.11777107444169,10,10,-115.54925373134328,-99.7673343605547,65536,65536,196608
recurrent_actor,episodic_return_mean,SERPPO-LSTM,recurrent_actor,SERPPO-LSTM,65536,-106.53648409450639,5.174709988363753,1.6363869794052868,-109.74380257414076,-103.32916561487203,10,10,-116.45080763582966,-97.6396255850234,65536,65536,131072
recurrent_actor,episodic_return_mean,SERPPO-LSTM,recurrent_actor,SERPPO-LSTM,131072,-106.4127119382897,6.092169692000302,1.926513211896743,-110.18867783360731,-102.63674604297209,10,10,-118.23343373493977,-98.2312404287902,65536,65536,131072
recurrent_actor,episodic_return_mean,SERPPO-GRU,recurrent_actor,SERPPO-GRU,65536,-110.66180862616571,8.614685585988518,2.7242027777946034,-116.00124607064313,-105.32237118168828,10,10,-124.35908440629471,-98.37441497659907,65536,65536,131072
recurrent_actor,episodic_return_mean,SERPPO-GRU,recurrent_actor,SERPPO-GRU,131072,-109.5325431007927,5.004232290452652,1.582477197839166,-112.63419840855745,-106.43088779302794,10,10,-114.26190476190476,-101.64580152671756,65536,65536,131072
