group,metric,variant,source_group,source_variant,global_step,mean,std,stderr,ci95_low,ci95_high,seed_count,available_seed_count,min_seed_value,max_seed_value,step_bin,shared_start_step,shared_end_step
recurrent_actor,critic_loss,SERPPO,framework_ablation,SERPPO,65536,0.6804057657718658,0.02685862694568796,0.00849344359731455,0.6637586163211293,0.6970529152226024,10,10,0.6364150047302246,0.7309582829475403,65536,65536,196608
recurrent_actor,critic_loss,SERPPO,framework_ablation,SERPPO,131072,0.6578390657901764,0.01576298907084715,0.004984694819621826,0.6480690639437175,0.6676090676366352,10,10,0.6374287605285645,0.6944522857666016,65536,65536,196608
recurrent_actor,critic_loss,SERPPO,framework_ablation,SERPPO,196608,0.6464250564575196,0.016024926330395102,0.005067526654045247,0.6364927042155909,0.6563574086994483,10,10,0.6208111643791199,0.6669216156005859,65536,65536,196608
recurrent_actor,critic_loss,SERPPO-LSTM,recurrent_actor,SERPPO-LSTM,65536,0.6705653309822083,0.033337923348600154,0.010542377024168407,0.6499022720148382,0.6912283899495784,10,10,0.5940632820129395,0.7144860625267029,65536,65536,131072
recurrent_actor,critic_loss,SERPPO-LSTM,recurrent_actor,SERPPO-LSTM,131072,0.6534151613712311,0.02933754813124715,0.009277347305955743,0.6352315606515578,0.6715987620909044,10,10,0.6107436418533325,0.7096184492111206,65536,65536,131072
recurrent_actor,critic_loss,SERPPO-GRU,recurrent_actor,SERPPO-GRU,65536,0.6808112502098084,0.03710297155224428,0.011732989806552496,0.6578145901889655,0.7038079102306513,10,10,0.621672511100769,0.7234445214271545,65536,65536,131072
recurrent_actor,critic_loss,SERPPO-GRU,recurrent_actor,SERPPO-GRU,131072,0.6589334905147552,0.023587058842677158,0.0074588829247275,0.6443140799822894,0.6735529010472211,10,10,0.6269450783729553,0.7010599970817566,65536,65536,131072
