group,metric,variant,source_group,source_variant,global_step,mean,std,stderr,ci95_low,ci95_high,seed_count,available_seed_count,min_seed_value,max_seed_value,step_bin,shared_start_step,shared_end_step
actor_critic_parameterization,critic_loss,independent_actor_critic,framework_ablation,SERPPO,65536,0.6804057657718658,0.02685862694568796,0.00849344359731455,0.6637586163211293,0.6970529152226024,10,10,0.6364150047302246,0.7309582829475403,65536,65536,196608
actor_critic_parameterization,critic_loss,independent_actor_critic,framework_ablation,SERPPO,131072,0.6578390657901764,0.01576298907084715,0.004984694819621826,0.6480690639437175,0.6676090676366352,10,10,0.6374287605285645,0.6944522857666016,65536,65536,196608
actor_critic_parameterization,critic_loss,independent_actor_critic,framework_ablation,SERPPO,196608,0.6464250564575196,0.016024926330395102,0.005067526654045247,0.6364927042155909,0.6563574086994483,10,10,0.6208111643791199,0.6669216156005859,65536,65536,196608
actor_critic_parameterization,critic_loss,partially_shared_actor_critic,actor_critic_parameterization,partially_shared_actor_critic,65536,0.6751526236534119,0.028126812653755554,0.008894479130671247,0.6577194445572963,0.6925858027495275,10,10,0.6349588632583618,0.7207165956497192,65536,65536,131072
actor_critic_parameterization,critic_loss,partially_shared_actor_critic,actor_critic_parameterization,partially_shared_actor_critic,131072,0.6578852593898773,0.012046763465095109,0.0038095210983002874,0.6504185980372087,0.6653519207425459,10,10,0.6445265412330627,0.6785489916801453,65536,65536,131072
